"","year","month","Precipitation","Evapotranspiration","Humidity","Drought","MiniTemperature","MaxTemperature"
"55",2004,7,5.05325689364876,4.11057799475737e-05,0.0157745922231974,-353.609285817456,219.026969345659,277.854638219437
"56",2004,8,2.22457727378637,3.68148336247271e-05,0.0157059019297304,-351.192298408604,215.438521396606,275.687590633135
"57",2004,9,9.81498852425266,4.61214038396483e-05,0.0165784044904755,-272.389191552894,219.907903417879,290.395835575958
"58",2004,10,7.72616960459063,5.04380796447451e-05,0.0171716354342652,-52.0065271739351,221.291533790144,301.787461014404
"59",2004,11,2.45654229889981,4.44705988532413e-05,0.0173217748818359,-98.6011349869803,225.135394213344,313.675825446168
"60",2004,12,1.91392146861854,4.07603863071037e-05,0.0166874915212873,-89.9219670499531,232.739719873194,316.47757463963
"61",2005,1,0.469475450610653,3.28719656248771e-05,0.011728719231705,-142.132703618037,206.398823913698,314.562352202813
"62",2005,2,2.44290978751228,3.35649449869427e-05,0.0168334760503779,-142.76257501432,238.64291006999,330.273789469589
"63",2005,3,5.03034100393419,3.90787753501286e-05,0.0175239492476368,-45.9549791143091,233.351330656712,326.397416089679
"64",2005,4,4.50290130579552,3.80178558251906e-05,0.0185946573183803,-84.64808616379,234.508623109915,320.65884054873
"65",2005,5,7.08639349100995,4.7485952361152e-05,0.0180540643940938,-21.3871564736723,232.40533717561,311.052533466088
"66",2005,6,6.8052510838193,5.0963730333657e-05,0.016965344721342,-116.92565971061,227.454532430329,290.487795103568
"67",2005,7,1.43016124262907,4.30218873356521e-05,0.0158149843437087,-190.459958918297,220.767732220644,280.426768389129
"68",2005,8,1.37118506422461,3.92804876153756e-05,0.0148451280269354,-241.718343034274,212.087510294363,276.292458624892
"69",2005,9,3.55825863747212,3.99471868402523e-05,0.0157750682015768,-282.64688542085,225.87427510058,291.781569980421
"70",2005,10,9.07075867377842,4.44830562980961e-05,0.0170253590186831,-196.488774971878,223.940306011313,305.076659213819
"71",2005,11,3.46654606022059,4.66614957173153e-05,0.0172408384293072,-155.399188898795,226.466169580792,316.491979023687
"72",2005,12,1.38608806002156,3.50724716190974e-05,0.0164298089173398,-89.8777398158351,227.518997620425,319.207339028854
"73",2006,1,1.10021950254776,2.85115198130297e-05,0.0164287471508815,-86.5068288441599,223.09631173951,311.710624135407
"74",2006,2,2.23688831456643,3.16109988411564e-05,0.0171801324637457,-102.975225133193,230.437651136364,325.510334932683
"75",2006,3,4.0229835318667,3.66015651271452e-05,0.0173962579284347,-182.008845365378,225.73423177696,321.917467632716
"76",2006,4,3.4689975287602,3.63459492732935e-05,0.0180076560087934,-305.153635168612,235.44384941945,327.738281707796
"77",2006,5,8.06272455304421,4.36046324153919e-05,0.0178158229064338,-249.753772428962,225.000708920779,305.033242401227
"78",2006,6,6.51014001458204,4.49131093899747e-05,0.0172282135322054,-290.689624631374,227.561867369988,306.207125395288
"79",2006,7,3.07124143943366,4.67981634656532e-05,0.0160993357923236,-307.108384716061,225.80698882797,289.884887277866
"80",2006,8,1.45706180386769,4.25836211667514e-05,0.0154350052926861,-324.977033266539,215.805637747831,280.077191143183
"81",2006,9,5.14826384497692,4.58101888003684e-05,0.0161828695584102,-319.894211997155,223.012998381418,287.817633279071
"82",2006,10,7.17091003899832,4.89709831607317e-05,0.0171105746472258,-192.83382305154,223.772945978335,305.334020859156
"83",2006,11,1.86397587553648,4.60510913179562e-05,0.016197063185709,-239.592864375406,218.237368049312,307.943076702529
"84",2006,12,0.941202350209484,3.53629713460342e-05,0.0140450053843071,-293.424827843552,217.299577818648,314.609403636505
"85",2007,1,0.243987580898893,2.24506516047192e-05,0.0102850806002264,-349.842063765968,201.48003201794,310.464301682746
"86",2007,2,2.38145922789438,3.02418033432289e-05,0.0158179583567466,-351.381076964744,217.443814620888,342.788258279108
"87",2007,3,3.75893461346837,3.34058408460973e-05,0.0165824667747964,-387.247648707346,235.097295842881,330.616536186975
"88",2007,4,6.73374203758824,4.15244393894189e-05,0.017962879171253,-277.927088665492,228.432832505254,320.38307713433
"89",2007,5,5.38724107138773,4.43981866866332e-05,0.0178963617274484,-307.723361298073,233.099014247769,316.642211211176
"90",2007,6,6.23907057321058,4.55713125217097e-05,0.0170075697584224,-339.279984176569,226.701221778303,296.288370645151
"91",2007,7,6.8353255899103,4.68779078592789e-05,0.0160772637915573,-248.864198658276,225.493789474484,286.568542171266
"92",2007,8,3.51011406418653,4.26216168977465e-05,0.015804974344246,-203.325360400023,214.509334177842,277.884966885128
"93",2007,9,12.3575833678732,4.97418948957659e-05,0.0165976541400453,-77.2565178912325,223.5473498758,290.663133188455
"94",2007,10,8.3270157301012,4.55938705103003e-05,0.0167143586911522,266.675169359978,221.741940450966,301.426939250076
"95",2007,11,3.10152461926853,4.84356349329466e-05,0.016785121278198,258.273687243264,220.798689252141,312.782095468341
"96",2007,12,1.40013331752068,4.22387823053194e-05,0.0147900565145135,242.118208091364,218.982051596988,319.709508537884
"97",2008,1,0.120308346844564,3.61474410052436e-05,0.00994757105215964,195.312156544196,193.996053346856,301.505773485172
"98",2008,2,1.35364834188846,2.7037408008679e-05,0.0141712669161924,105.008665767773,212.023161790512,330.183622904636
"99",2008,3,4.876673579449,4.1525912114498e-05,0.0165386644005513,138.459649707148,222.799064291807,327.528636741023
"100",2008,4,4.75478762837601,4.53150518156146e-05,0.0167090519002598,150.189183870552,232.243554560117,323.283889108462
"101",2008,5,8.36421816356332,4.65857176272769e-05,0.0170945404375746,171.331153694467,230.455352876798,312.660000851301
"102",2008,6,9.1407856655961,4.95431770327772e-05,0.0169201832992812,178.797745315194,222.628015396396,295.367903820497
"103",2008,7,6.74757500853908,5.01924429183569e-05,0.0160911747424813,175.280172318339,219.317045771967,282.049193129781
"104",2008,8,3.26346352997674,4.85212520589525e-05,0.01574085450522,174.418171966757,213.217721350536,279.302596497766
"105",2008,9,5.34735531656937,4.83615406786473e-05,0.0163197382837749,141.572629758607,220.498456583765,288.364796545718
"106",2008,10,6.1851917179348,5.19795612156287e-05,0.0166927303572615,118.687768979475,223.935454158682,300.349548799972
"107",2008,11,2.846638003412,5.01921672684093e-05,0.0161719906376176,160.991096846795,220.850088670073,313.232861709388
"108",2008,12,3.37518342667547,4.47494118032395e-05,0.0152445968419425,213.520664027369,224.948613509364,317.933066222021
"109",2009,1,0.576146577083359,3.59909224819633e-05,0.013098171014528,187.525423338037,211.892689582225,318.416297086793
"110",2009,2,3.22430255412141,3.38525202198499e-05,0.0163932192885739,170.103916106673,231.308504856995,328.374669371993
"111",2009,3,5.44012874602988,4.21442310913578e-05,0.0169088549002254,91.2260915304237,230.883657348558,325.349380004727
"112",2009,4,4.31439326526147,4.37296488112502e-05,0.0175497391595117,50.9351977821145,227.265160832631,316.673905890773
"113",2009,5,6.11025572482379,4.56560409002043e-05,0.0178307890936713,-73.9779848813853,231.748195048496,316.070530305741
"114",2009,6,11.0083183892976,4.74939002560819e-05,0.0173140998273953,-77.8393165156425,225.898950332435,298.235952643654
"115",2009,7,6.60361382665648,4.90268831934764e-05,0.0161846057893338,22.2758798711237,222.884956016136,283.969156248932
"116",2009,8,0.908844711994646,3.9489777996364e-05,0.01610196934291,-55.3619476169534,216.700149382832,274.428560418895
"117",2009,9,1.8497366336858,4.07971700612e-05,0.0162937504548001,-150.571666660237,221.571349312149,289.262182934458
"118",2009,10,3.53033192318098,4.78680900796515e-05,0.0164015087049066,-219.856941558561,222.141349335917,297.477051224823
"119",2009,11,2.96766527128015,4.36867830002981e-05,0.0161275995703525,-311.976358848165,220.984242662617,313.608742678514
"120",2009,12,2.03710085305474,3.52468562325228e-05,0.0151149383353048,-291.773291913068,226.342465670867,320.464804344294
"121",2010,1,0.937713931329345,2.76897959657662e-05,0.0149943530112793,-284.144582729575,224.297118522732,325.10373850813
"122",2010,2,3.47209371950167,3.25872053837256e-05,0.0159782967985767,-235.526650912892,235.848602445642,337.044887444297
"123",2010,3,4.22476065513634,3.88968137681754e-05,0.0169028067667525,-321.42365264423,238.610869907297,338.123030853873
"124",2010,4,4.40557591536896,4.31704618974737e-05,0.0174547641817958,-343.496847387129,237.675541978554,328.51097094677
"125",2010,5,5.07530676192881,4.29277650372131e-05,0.0179660137043751,-359.956458623359,240.616752767322,315.937483196266
"126",2010,6,7.93769259057719,4.19126774885267e-05,0.0175069534283338,-360.122173891135,232.972475824569,301.210467693648
"127",2010,7,3.26746021340113,4.52666239888078e-05,0.0159668334819038,-374.76236869586,223.92465120382,287.904161306235
"128",2010,8,2.90251426921932,3.95384701106843e-05,0.016221066517876,-335.569320444848,220.640808310805,282.615059928268
"129",2010,9,7.12564262524215,4.32552056829546e-05,0.0164504928470219,-248.897424504275,223.231337428664,289.250543192615
"130",2010,10,7.45140652937716,4.79863606980511e-05,0.0171293837235014,-84.8740441491751,224.985412227525,301.35267103073
"131",2010,11,5.48236579465316,4.61625114960656e-05,0.0170887557465328,91.7308557091864,224.332971971233,313.629174055278
"132",2010,12,1.97161926886414,4.35242769320719e-05,0.0159472137960396,155.986935886321,221.806389870653,316.973407322873
"133",2011,1,1.0931739481566,3.52786580834929e-05,0.0135157429608617,230.315295559712,213.694742544942,316.353762365506
"134",2011,2,4.4821348636697,4.27082626493948e-05,0.0154412989668755,220.722711379374,218.991723842867,327.107412407176
"135",2011,3,6.25865678033098,4.40356682982524e-05,0.0174629114322762,40.1457866710203,234.214362504351,326.181607223766
"136",2011,4,4.63688760039742,4.60348743624999e-05,0.017513387590627,-230.02149328824,232.03932878843,327.40010227223
"137",2011,5,5.36289177440975,4.63727476659338e-05,0.0179399124565687,-294.877891470933,231.789270458264,317.208253831257
"138",2011,6,7.8920984266839,5.13116321475725e-05,0.017231731114231,-353.455377065493,230.604196357278,297.352054259515
"139",2011,7,5.31927320771957,4.80867252045395e-05,0.0162091260055569,-317.296037783006,222.969450629976,284.206912583572
"140",2011,8,2.53034718502414,4.364542737978e-05,0.015820989245207,-322.093862046514,216.955994913993,277.511953954358
"141",2011,9,5.32321488298488,4.84296600344026e-05,0.0164758129085955,-326.944524611533,222.571123773034,288.068190694675
"142",2011,10,9.78131218396916,5.22770618527842e-05,0.0169203926480861,-135.685635679464,227.767533757775,298.699204794331
"143",2011,11,2.31890517425361,5.43191594529164e-05,0.0165316954530112,-186.632453916131,221.393637543215,314.358622947391
"144",2011,12,0.550175558386703,4.03840703293831e-05,0.0137587401664782,-258.6059888683,216.74673419,313.981830626103
"145",2012,1,0.467447293012093,3.00200333281012e-05,0.012657773172895,-226.916563469803,211.495143649471,319.042296565388
"146",2012,2,3.01687997824856,3.34741118577997e-05,0.0145717424251364,-181.756436562544,225.354197828814,318.73590640228
"147",2012,3,2.16322160353107,3.3741677586245e-05,0.0160451052221934,-301.228326590316,233.651227230199,325.65638693905
"148",2012,4,3.70439142036965,4.1278765549097e-05,0.0169130629452495,-305.712897221984,226.909368378165,317.893078023027
"149",2012,5,5.62436133632516,4.40402138622315e-05,0.0170886215749288,-324.909956125892,228.674918751095,302.997370731604
"150",2012,6,7.45748853358507,4.12531924848252e-05,0.0169914547873308,-328.910005687935,222.648404837189,293.317310544608
"151",2012,7,2.2768558407481,4.2195473776482e-05,0.0157815194547648,-365.39230650557,222.380478185127,280.570049852341
"152",2012,8,1.24529698405904,3.68015976268826e-05,0.0153673183572102,-311.858096937497,213.928915345739,276.644057682181
"153",2012,9,4.60117547178625,4.14039098418263e-05,0.0156875445803849,-302.349221419532,218.996043144209,287.688629592371
"154",2012,10,8.47072258111171,5.15840087201725e-05,0.0167727141256288,-287.685511855807,225.94942288693,295.467846960386
"155",2012,11,3.26408071886893,4.60170216284184e-05,0.0171701503149279,-194.372084282978,225.802109403029,311.51073005927
"156",2012,12,1.16382957441253,3.48683956393761e-05,0.0154456876059228,326.807401968359,217.557440992727,317.818789857442
"157",2013,1,0.306000919133626,2.67131843063092e-05,0.0129513892793616,369.635231633715,208.568113401148,325.26046007239
"158",2013,2,2.42567454068933,2.8418492212331e-05,0.0156560254399866,229.142477275816,226.625883932562,341.666615695399
"159",2013,3,5.369489426342,4.09918089708802e-05,0.0173458657741909,150.549574888533,234.19722632942,325.805510784892
"160",2013,4,3.09999920904183,4.09982212473819e-05,0.0173842316970853,152.878666679272,233.515594950262,320.211182552393
"161",2013,5,4.12411632436149,4.44983175661044e-05,0.0172317453463698,110.409674720281,228.95803319912,311.027509256469
"162",2013,6,4.61412227479824,4.8523583654934e-05,0.0164832759781774,-48.4621045755031,226.032404414809,294.276391224905
"163",2013,7,1.98916587553932,3.72595778453327e-05,0.0154820733855816,-161.8432075059,218.669405081617,281.402734605855
"164",2013,8,0.838826490215773,3.16972699696911e-05,0.0142988095276781,-253.070254271692,213.038300883294,275.271371976374
"165",2013,9,3.70457988544041,3.99714582715574e-05,0.0155325316452537,-249.643592810399,223.553437018198,290.036269491236
"166",2013,10,3.90650316087453,4.65156961574333e-05,0.0159539025608481,-272.632773122616,221.694997418505,299.968785370282
"167",2013,11,4.08191836915239,4.1940274663918e-05,0.01641324551813,-61.0001921473015,225.326365811964,311.855166765187
"168",2013,12,1.24817895232154,2.82327258148776e-05,0.0140122591037085,-30.8268226171441,220.695744780586,313.725325936108
"169",2014,1,1.26360390383088,2.21948623052917e-05,0.0152500848395976,188.093500482036,226.267117007958,318.608529274475
"170",2014,2,2.28993516574358,3.03530079467486e-05,0.014913959038869,210.236647511737,226.356049415946,325.051953188934
"171",2014,3,3.91907354501564,3.17759883779739e-05,0.0164689628896276,181.759092573998,228.418101977222,323.491648370693
"172",2014,4,4.90300330884002,3.91475285082726e-05,0.017489486461946,146.203535819828,229.732776101225,321.355380128502
"173",2014,5,5.1005975864026,4.09410614740012e-05,0.0178185457594176,-43.8140255861391,236.729488066413,311.040799153594
"174",2014,6,8.10289924969497,4.52827643028668e-05,0.0174629215635766,-135.369095419564,228.60041034022,298.934324404807
"175",2014,7,5.17306834656858,4.37003261052921e-05,0.016248355340483,-182.350223270174,226.114140442874,285.602039075866
"176",2014,8,2.68874018483742,3.64558283627976e-05,0.015670137436935,-218.899091288821,217.44042406359,279.156362161736
"177",2014,9,4.37563730999786,4.02964540455687e-05,0.0161730306775828,-192.857050929704,224.789167350864,284.5544699284
"178",2014,10,3.71006518183458,4.71740480459052e-05,0.0166544027339327,-192.989709420667,226.547205587628,299.538739652451
"179",2014,11,2.70374207230299,4.25869151903602e-05,0.0166756377754863,-87.3455597370009,228.038991834683,307.436669542919
"180",2014,12,1.26806762192099,3.44277376594033e-05,0.0147682887815305,-122.499754666426,216.354193719622,321.009600249865
"181",2015,1,0.503112083193499,2.13256677478849e-05,0.0122345770599162,-155.825905756437,209.32444197709,315.400405278869
"182",2015,2,2.88310095012267,2.97268747832122e-05,0.0163381158278513,6.58102783657753,228.925427263612,329.68808856355
"183",2015,3,4.57858377974372,3.4006831005146e-05,0.0170571497646428,6.70482533982802,228.248895243717,331.267344731229
"184",2015,4,3.89052720207116,3.65464240016725e-05,0.0178488102703551,-108.742367244238,226.902619877963,333.199275535361
"185",2015,5,4.97146755219116,4.20511733379069e-05,0.0179042160782927,-206.279920598864,232.959881513706,323.256537274767
"186",2015,6,7.03243341756397,4.60792193883699e-05,0.0170367567791184,-274.562620973599,228.130928728421,300.149396170512
"187",2015,7,2.64509016325424,4.09334134825243e-05,0.0164185353455271,-332.082962462706,220.91669082514,288.56446058854
"188",2015,8,1.0478205879234,3.48095831236898e-05,0.016054475217863,-336.437822056536,221.371317655822,279.649069815518
"189",2015,9,1.56983893793099,3.8370130500447e-05,0.0158660603372323,-407.102443327806,226.484875852092,295.176798402894
"190",2015,10,5.97474361854259,4.29847932310496e-05,0.0170908787216324,-374.462371051047,233.745886785746,298.94549458076
"191",2015,11,3.10155691846279,4.25060751929071e-05,0.0168991066060102,-310.865615359623,223.614299105813,321.296795717923
"192",2015,12,0.290730803967828,2.47644453362782e-05,0.0119164498124847,-369.029159930021,218.876142650626,317.733321342881
"193",2016,1,0.259920399960771,1.92543363481236e-05,0.0115965410318924,-426.498565384803,223.68822909793,326.619526871767
"194",2016,2,0.798298461821468,1.68194465850841e-05,0.0132167250788653,-512.480898576198,238.717007420988,342.56604385653
"195",2016,3,5.56525559578998,3.83709170330189e-05,0.0173922951550087,-590.678330779851,234.458557372841,331.589613641683
"196",2016,4,3.05895373234439,3.77927130380686e-05,0.0180286415381483,-712.712817688766,236.501537974335,326.828239918198
"197",2016,5,5.79481263124656,4.41676334374309e-05,0.0177178473808679,-809.399416163038,236.679363727075,319.121903772827
"198",2016,6,5.49589573897144,4.40486846710012e-05,0.0169042169969062,-880.337682156693,227.406536778342,297.88963197313
"199",2016,7,2.05858445238785,3.53620716457568e-05,0.0163820113386196,-953.305928082604,228.281303271651,290.195875597266
"200",2016,8,2.24125878741692,2.93827299116704e-05,0.0158057139003595,-966.468453225402,220.501844446027,284.08758485213
"201",2016,9,7.13528053820507,4.12575860464578e-05,0.0165537062743969,-971.836594009314,225.684923189987,294.354163940931
"202",2016,10,6.50096747561732,4.89429431945343e-05,0.0173575008175143,-1015.18981344318,228.821835272237,308.145531005226
"203",2016,11,3.41505965727209,4.08553654467787e-05,0.017416840450449,-1109.48881662652,229.330989800641,321.337852032903
"204",2016,12,1.39591478570271,3.20411389318329e-05,0.0163009554782701,-1150.73948607867,227.747590397546,322.950699579574
"205",2017,1,1.41236295662991,3.14475100705962e-05,0.0144122092836232,-1160.88389577054,223.697789610806,326.604431773252
"206",2017,2,1.61405197809115,2.78357982468155e-05,0.0162577074253416,-1150.69719514768,233.726711785203,337.565040465872
"207",2017,3,3.60847463273984,3.55640559373996e-05,0.0174499345009032,-1188.64500004209,234.96916825814,332.101711032765
"208",2017,4,4.63956077374965,4.1029536233611e-05,0.017912262399244,-1189.29848901604,232.573859221465,322.909114452302
"209",2017,5,6.06967530739413,4.42311474480961e-05,0.0179832389895178,-1234.28935250514,234.154945838,316.562689956187
"210",2017,6,11.0012832606321,4.11395069077796e-05,0.0176400278955652,-1239.38316014,229.152974025535,299.622982702289
"211",2017,7,3.74194671551453,4.58803328242666e-05,0.0163514844742645,-1269.82388740274,225.195069410809,287.09305158057
"212",2017,8,1.90711848134198,4.21465723225832e-05,0.0159593495012607,-1248.36603436025,218.118041280385,281.714619225195
"213",2017,9,2.85313740181354,4.13820073214938e-05,0.0164198880415144,-1250.51918855348,225.71755167052,294.364329186203
"214",2017,10,7.21496303732178,4.73029568194907e-05,0.0171812257254521,-1312.19667205494,231.080221735264,310.414328383981
"215",2017,11,3.64672039037332,4.2137723546604e-05,0.0169954993349205,-1344.93187648138,226.618291730087,318.577320745616
"216",2017,12,2.08292660500988,3.98662050419507e-05,0.0153192476013438,-1354.42080446326,222.867071960848,318.080153196892
"217",2018,1,0.304694462574623,3.02498212443945e-05,0.0135635576374721,-76.127124912267,209.808737092984,320.074774242276
"218",2018,2,2.20032030746165,2.8903675257738e-05,0.0160614237195086,-171.79871952689,233.594719753361,333.666329169952
"219",2018,3,3.74880532588683,3.81377594667319e-05,0.0172602062092278,-183.041405026204,225.74489910627,319.781459328392
"220",2018,4,3.19508384066785,3.85566358037042e-05,0.0175974450095708,-218.775019935687,232.897349006204,322.979300000533
"221",2018,5,7.1264063101596,4.45227727287726e-05,0.0175914181177257,-257.11331530971,235.46979716073,315.690748550928
"222",2018,6,6.89635458655612,4.63264989000996e-05,0.0171352600087613,-293.361953917724,230.026280304488,298.263883362559
"223",2018,7,3.54112013636821,4.42724836371107e-05,0.0165771945720878,-281.006173805636,226.097023103592,285.504726751791
"224",2018,8,2.05739834221208,4.24644704094877e-05,0.0158397767803758,-238.722842303412,221.028988195418,282.266031144694
"225",2018,9,5.89793172144614,4.53995224970565e-05,0.016778905747061,-206.748890612544,226.174413398216,291.284638321537
"226",2018,10,5.4349662184139,4.5503667682435e-05,0.0172679877985372,-121.269753969047,229.227316025236,302.186172040078
"227",2018,11,3.25695199732422,4.3758982326215e-05,0.0172488653353318,-147.187235750727,226.693623452761,318.362618607291
"228",2018,12,0.415068680973966,3.58401930019987e-05,0.0142514648936644,-150.053957023495,216.301950584605,319.256712185673
"229",2019,1,0.587507604716446,2.47689434752543e-05,0.0140909968208901,-173.498976370646,231.098796031163,334.026777109498
"230",2019,2,2.28781523981844,3.15708623340991e-05,0.0162642386673731,-202.989030670988,235.931864946005,339.777974829774
"231",2019,3,3.40512634432971,3.74740119310903e-05,0.0167466614175681,-251.976554549375,239.286386312609,336.407812782416
"232",2019,4,5.25666253143658,4.2817061906342e-05,0.018271830805496,-273.937715547023,242.21028956203,332.538746145705
"233",2019,5,7.63400423432237,4.58069240794213e-05,0.0180045503429233,-274.755261296603,238.635795303803,321.067164403591
"234",2019,6,5.53770172894953,4.81792034033898e-05,0.017424140966727,-297.02016296138,235.515250873912,305.987605351441
"235",2019,7,3.68562995091169,4.51227605049126e-05,0.0167112019183885,-307.739143853316,231.654356487311,293.555901348794
"236",2019,8,1.60364341396666,4.0220837659874e-05,0.016098585814406,-322.446952496191,224.984889641949,288.588091545126
"237",2019,9,6.2824141077592,4.42954319617822e-05,0.0169900915650459,-274.635315016996,230.95917176369,299.605694198499
"238",2019,10,9.06641188425214,4.490870992074e-05,0.0173413955125865,-48.5786931787496,229.474491250004,308.807735679167
"239",2019,11,3.41647772436041,4.85742417692999e-05,0.0174381388138471,-93.8761718443992,238.598649621756,330.578202689291
"240",2019,12,1.40872340016331,4.15886821096107e-05,0.0154734971991448,-152.212942967292,237.749546106419,332.951328293362
